,enzyme,R
1414,2.7.8.2,R04321
1415,2.7.8.2,R04922
1416,2.7.8.2,R07389
1417,4.3.2.1,R01086
1418,2.1.1.67,R08236
1419,2.1.1.67,R08239
1420,2.1.1.67,R08246
1421,5.3.99.3,R02265
1422,3.1.3.77,R07393
1423,3.1.3.77,R07394
1424,3.1.3.77,R07395
1425,1.3.1.24,R02391
1426,1.3.1.24,R02393
1427,1.1.1.21,R01036
1428,1.1.1.21,R01093
1429,1.1.1.21,R01758
1430,1.1.1.21,R01041
1431,1.1.1.21,R01095
1432,1.1.1.21,R01431
1433,1.1.1.21,R01759
1434,1.1.1.21,R01787
1435,1.1.1.21,R02531
1436,1.1.1.21,R02577
1437,1.1.1.21,R04285
1438,1.1.1.21,R11764
1439,2.1.1.100,R04496
1440,2.4.1.145,R05987
1441,2.4.1.145,R04662
1442,3.1.4.37,R03422
1443,3.5.4.5,R01878
1444,3.5.4.5,R02485
1445,3.5.4.5,R08221
1446,2.4.2.14,R01072
1447,2.4.1.18,R02110
1448,2.4.1.18,R06186
1449,2.7.8.17,R04291
1450,3.1.4.45,R04373
1451,2.4.1.102,R04575
1452,2.4.1.102,R05912
1453,2.4.1.102,R05910
1454,1.8.1.4,R03815
1455,1.8.1.4,R07618
1456,1.8.1.4,R00209
1457,1.8.1.4,R01221
1458,1.8.1.4,R01698
1459,1.8.1.4,R01933
1460,1.8.1.4,R08549
1461,6.3.4.2,R00256
1462,6.3.4.2,R00571
1463,6.3.4.2,R00573
1464,2.7.1.26,R00549
1465,1.1.1.22,R00286
1466,6.3.1.2,R00253
1467,1.1.1.64,R01838
1468,1.13.11.31,R01596
1469,3.5.2.9,R00251
1470,6.3.5.1,R00257
1471,6.3.5.1,R00189
1472,4.1.1.35,R01384
1473,4.2.1.75,R03165
1474,3.2.1.25,R06207
1475,3.2.1.25,R08614
1476,3.2.1.25,R01332
1477,2.3.1.87,R02911
1478,1.3.8.4,R04096
1479,1.3.8.4,R04095
1480,3.1.1.34,R01369
1481,3.1.1.34,R01350
1482,3.2.1.51,R03162
1483,4.2.1.22,R01290
1484,4.2.1.22,R00891
1485,4.2.1.22,R01289
1486,4.2.1.22,R04942
1487,3.5.3.18,R02513
1488,4.3.1.3,R01168
1489,4.3.1.3,R06132
1490,1.13.99.1,R01184
1491,3.1.6.14,R07808
1492,3.1.6.14,R07819
1493,1.13.11.71,R10559
1494,1.13.11.5,R02519
1495,1.2.1.5,R00631
1496,1.2.1.5,R00710
1497,1.2.1.5,R00904
1498,1.2.1.5,R02536
1499,1.2.1.5,R02695
1500,1.2.1.5,R03300
1501,1.2.1.5,R04882
1502,1.2.1.5,R04888
1503,1.2.1.5,R04891
1504,1.2.1.5,R04996
1505,1.2.1.5,R08282
1506,1.2.1.5,R08307
1507,1.2.1.5,R00711
1508,1.2.1.5,R02537
1509,1.2.1.5,R02697
1510,1.2.1.5,R03302
1511,1.2.1.5,R04883
1512,1.2.1.5,R04889
1513,1.2.1.5,R04892
1514,1.2.1.5,R08283
1515,1.2.1.5,R07104
1516,1.14.17.1,R02535
1517,4.1.1.33,R01121
1518,1.17.4.1,R02017
1519,1.17.4.1,R02018
1520,1.17.4.1,R02019
1521,1.17.4.1,R02024
1522,1.17.4.1,R08363
1523,1.17.4.1,R08364
1524,1.17.4.1,R11893
1525,2.1.1.361,R03875
1526,6.5.1.1,R00381
1527,6.5.1.6,R00381
1528,6.5.1.6,R00382
1529,6.5.1.7,R00381
1530,6.5.1.7,R10822
1531,6.5.1.7,R10823
1532,2.3.1.234,R10648
1533,1.11.1.8,R02810
1534,1.11.1.8,R08522
1535,1.11.1.8,R08523
1536,1.11.1.8,R03208
1537,1.11.1.8,R03539
1538,1.11.1.8,R03953
1539,1.11.1.8,R03973
1540,1.11.1.8,R08520
1541,1.11.1.8,R08521
1542,2.4.2.30,R04176
1543,1.14.11.27,R09510
1544,1.14.11.27,R09511
1545,1.14.11.27,R10056
1546,2.4.2.28,R01402
1547,4.1.1.84,R07313
1548,3.2.1.114,R05984
1549,4.1.1.9,R00233
1550,4.1.1.9,R05373
1551,2.7.4.9,R02094
1552,2.7.4.9,R02098
1553,2.4.1.152,R05904
1554,2.4.1.152,R06025
1555,2.4.1.152,R06038
1556,2.4.1.152,R06039
1557,2.4.1.152,R06221
1558,2.4.1.152,R06222
1559,2.4.1.152,R06076
1560,2.4.1.152,R06095
1561,2.4.1.152,R06224
1562,2.4.1.152,R06227
1563,2.4.1.152,R06230
1564,2.7.1.59,R01201
1565,4.4.1.5,R02530
1566,2.1.1.17,R02056
1567,2.1.1.71,R03424
1568,2.1.1.71,R01320
1569,2.4.1.88,R04182
1570,2.4.1.88,R05965
1571,2.4.1.88,R11322
1572,1.1.1.2,R00625
1573,1.1.1.2,R00746
1574,1.1.1.2,R01041
1575,1.1.1.2,R05231
1576,1.1.1.2,R01481
1577,2.4.1.101,R05983
1578,3.5.4.3,R01676
1579,2.1.4.1,R00565
1580,2.1.4.1,R01686
1581,2.1.4.1,R01989
1582,5.4.2.2,R00959
1583,5.4.2.2,R01057
1584,5.4.2.2,R03319
1585,2.3.1.29,R00371
1586,2.3.2.5,R04058
1587,1.5.5.1,R04433
1588,1.1.1.41,R00709
1589,2.7.1.94,R02757
1590,2.7.1.94,R02758
1591,3.1.1.8,R01026
1592,3.1.2.6,R01736
1593,2.7.7.2,R00161
1594,3.1.3.3,R00582
1595,3.1.3.3,R02853
1596,2.6.1.5,R00734
1597,2.6.1.5,R00694
1598,2.6.1.5,R07396
1599,1.1.1.95,R01513
1600,1.1.1.95,R08198
1601,1.1.1.399,R11337
1602,2.7.8.15,R01007
1603,2.7.8.15,R05969
1604,2.3.1.61,R02570
1605,2.3.1.61,R01933
1606,2.3.1.61,R02571
1607,2.3.1.61,R08549
1608,2.4.1.144,R05986
1609,2.4.1.144,R07259
1610,1.13.11.11,R00678
1611,6.1.1.18,R03652
1612,5.3.1.8,R01819
1613,1.1.99.2,R03534
1614,2.4.1.150,R06189
1615,2.4.1.150,R02790
1616,2.4.1.150,R04654
1617,2.4.1.150,R06013
1618,5.1.99.4,R08734
1619,5.1.99.4,R08739
1620,3.1.3.7,R00188
1621,3.1.3.7,R00508
1622,2.3.1.37,R00830
1623,3.2.1.46,R03617
1624,3.2.1.106,R05979
1625,3.1.1.53,R08600
1626,3.1.1.53,R08601
1627,2.7.1.17,R01639
1628,3.1.4.39,R04362
1629,3.1.4.39,R07388
1630,4.1.3.3,R01811
1631,3.5.1.23,R01494
1632,3.5.1.23,R06518
1633,3.5.1.23,R06528
1634,1.1.1.8,R00842
1635,2.6.1.16,R00768
1636,2.7.1.164,R08223
1637,2.7.1.158,R05202
1638,2.9.1.2,R08224
1639,6.5.1.4,R04274
1640,1.11.2.2,R09564
1641,1.11.2.2,R11906
1642,2.4.1.25,R05196
1643,2.4.1.25,R06069
1644,3.2.1.33,R02109
1645,3.2.1.33,R06158
1646,3.5.1.15,R00488
1647,3.5.1.15,R00526
1648,1.17.4.4,R03511
1649,1.17.4.4,R03645
1650,1.17.4.4,R09992
1651,3.1.1.31,R02035
1652,2.4.1.155,R05991
1653,2.4.1.155,R04665
1654,1.3.8.6,R02487
1655,1.3.8.6,R03028
1656,1.3.8.6,R10074
1657,1.13.11.6,R02665
1658,2.8.2.4,R02350
1659,3.2.1.22,R01101
1660,3.2.1.22,R01103
1661,3.2.1.22,R01104
1662,3.2.1.22,R01194
1663,3.2.1.22,R01329
1664,3.2.1.22,R02926
1665,3.2.1.22,R03618
1666,3.2.1.22,R03634
1667,3.2.1.22,R04019
1668,3.2.1.22,R04470
1669,3.2.1.22,R05549
1670,3.2.1.22,R05961
1671,3.2.1.22,R06070
1672,3.2.1.22,R06091
1673,3.2.1.22,R06093
1674,3.2.1.22,R06094
1675,3.2.1.22,R06096
1676,3.2.1.22,R06142
1677,3.2.1.22,R06152
1678,2.7.4.21,R09087
1679,2.7.4.21,R10548
1680,2.4.1.80,R01497
1681,2.4.1.80,R06275
1682,5.1.3.2,R00291
1683,5.1.3.2,R00418
1684,5.1.3.2,R02984
1685,6.3.5.4,R00256
1686,6.3.5.4,R00483
1687,6.3.5.4,R00578
1688,1.1.1.141,R02580
1689,1.1.1.141,R02683
1690,3.6.1.17,R01232
1691,3.6.1.17,R00184
1692,3.6.1.17,R00969
1693,3.6.1.17,R02805
1694,2.7.7.9,R00289
1695,3.5.2.2,R02269
1696,3.5.2.2,R03055
1697,3.5.2.2,R08227
1698,2.4.1.92,R04584
1699,2.4.1.92,R05939
1700,2.4.1.92,R03490
1701,2.4.1.92,R05109
1702,2.4.1.92,R05938
1703,2.4.1.92,R05946
1704,2.4.1.92,R05952
1705,1.5.1.3,R00939
1706,1.5.1.3,R00936
1707,1.5.1.3,R00937
1708,1.5.1.3,R00940
1709,1.5.1.3,R02235
1710,1.5.1.3,R02236
1711,1.5.1.3,R11765
1712,4.1.3.4,R01360
1713,4.1.3.4,R08090
1714,2.2.1.2,R01827
1715,4.2.1.24,R00036
1716,1.5.8.4,R01565
1717,2.3.1.12,R02569
1718,2.3.1.12,R00209
1719,4.3.2.2,R01083
1720,4.3.2.2,R04559
1721,1.1.1.49,R02736
1722,1.1.1.363,R02736
1723,1.1.1.363,R10907
1724,3.2.1.49,R04183
1725,3.2.1.49,R05966
1726,4.2.1.96,R04734
1727,1.3.1.3,R02609
1728,1.3.1.3,R02893
1729,1.3.1.3,R01835
1730,1.3.1.3,R02219
1731,1.3.1.3,R02498
1732,1.3.1.3,R02841
1733,1.3.1.3,R03713
1734,1.3.1.3,R03850
1735,1.3.1.3,R04817
1736,1.3.1.3,R04823
1737,3.1.3.9,R01788
1738,1.2.1.24,R00713
1739,6.1.1.22,R03648
1740,4.4.1.16,R03599
1741,1.14.11.18,R05722
1742,1.14.11.1,R02397
1743,2.1.1.37,R04858
1744,5.3.1.1,R01015
1745,5.1.3.19,R04104
1746,2.6.1.13,R00667
1747,2.6.1.13,R00668
1748,6.3.4.16,R00149
1749,2.3.1.39,R01626
1750,6.2.1.16,R01357
1751,5.4.99.7,R03199
1752,3.1.4.50,R06623
1753,3.1.4.50,R04149
1754,3.1.4.50,R07398
1755,3.2.1.28,R00010
1756,3.2.1.28,R06103
1757,3.5.4.12,R01663
1758,3.2.1.50,R07816
1759,6.3.5.3,R04463
1760,6.1.1.3,R03663
1761,2.3.1.168,R02662
1762,2.3.1.168,R03174
1763,2.3.1.168,R04097
1764,2.3.1.168,R10998
1765,4.99.1.1,R00310
1766,4.99.1.9,R11329
1767,6.1.1.19,R03646
1768,3.6.1.11,R03042
1769,3.6.1.11,R03409
1770,1.4.3.4,R02173
1771,1.4.3.4,R02382
1772,1.4.3.4,R02529
1773,1.4.3.4,R02532
1774,1.4.3.4,R02613
1775,1.4.3.4,R02908
1776,1.4.3.4,R02919
1777,1.4.3.4,R04025
1778,1.4.3.4,R04300
1779,1.4.3.4,R04674
1780,1.4.3.4,R04890
1781,1.4.3.4,R04893
1782,1.4.3.4,R04894
1783,1.4.3.4,R08347
1784,1.4.3.4,R08348
1785,1.4.3.4,R04907
1786,1.4.3.4,R04908
1787,1.4.3.4,R08346
1788,1.6.5.5,R02364
1789,4.1.1.65,R02055
1790,6.1.1.7,R03038
1791,5.3.99.2,R02266
1792,3.5.1.26,R03421
1793,1.2.3.1,R01709
1794,1.2.3.1,R02125
1795,1.2.3.1,R02657
1796,1.2.3.1,R03871
1797,1.2.3.1,R04904
1798,1.2.3.1,R08349
1799,1.2.3.1,R08384
1800,1.2.3.1,R04085
1801,1.2.3.1,R08408
1802,3.3.2.6,R03057
1803,2.3.1.43,R02114
1804,4.2.1.47,R00888
1805,2.3.1.13,R00395
1806,2.3.1.71,R02452
1807,3.1.6.2,R03404
1808,3.1.6.2,R08941
1809,3.1.6.2,R08942
1810,2.3.1.78,R04466
1811,2.3.1.78,R07815
1812,2.1.1.28,R04033
1813,2.1.1.28,R02533
1814,1.2.1.88,R00245
1815,1.2.1.88,R00707
1816,1.2.1.88,R00708
1817,1.2.1.88,R04444
1818,1.2.1.88,R04445
1819,1.2.1.88,R05051
1820,3.4.13.20,R01992
1821,6.1.1.9,R03665
1822,2.1.1.63,R04314
1823,1.1.1.153,R02975
1824,1.1.1.153,R08208
1825,1.1.1.153,R01813
1826,1.1.1.153,R11762
1827,1.1.1.153,R11763
1828,6.3.4.5,R01954
1829,2.4.1.62,R04631
1830,2.4.1.62,R05941
1831,2.4.1.62,R05110
1832,2.4.1.62,R05111
1833,2.4.1.62,R05948
1834,2.4.1.62,R05953
1835,2.4.1.62,R05956
1836,2.7.4.8,R00332
1837,2.7.4.8,R02090
1838,6.3.5.2,R00256
1839,6.3.5.2,R01230
1840,6.3.5.2,R01231
1841,6.3.5.2,R08244
1842,1.1.1.14,R07145
1843,1.1.1.14,R00875
1844,1.1.1.14,R01896
1845,6.3.2.51,R04230
1846,2.4.1.143,R05985
1847,2.4.1.143,R04653
1848,2.4.1.143,R07258
1849,2.7.7.30,R01951
1850,2.1.2.10,R04125
1851,2.1.2.10,R01221
1852,2.1.2.10,R02300
1853,5.3.3.12,R03673
1854,4.4.1.1,R01001
1855,4.4.1.1,R08632
1856,4.4.1.1,R00782
1857,4.4.1.1,R02408
1858,4.4.1.1,R04770
1859,4.4.1.1,R04930
1860,4.4.1.1,R09366
1861,3.2.1.76,R07813
1862,3.2.1.76,R07822
1863,2.5.1.75,R01122
1864,1.13.11.19,R02467
1865,2.1.1.4,R03130
1866,2.1.1.4,R04905
1867,2.5.1.26,R04311
1868,3.1.6.4,R07806
1869,2.7.6.1,R01049
1870,1.5.1.20,R01224
1871,1.5.1.20,R07168
1872,1.4.3.5,R00277
1873,1.4.3.5,R00278
1874,1.4.3.5,R01710
1875,1.4.3.5,R01711
1876,1.1.1.62,R02352
1877,1.1.1.62,R02353
1878,1.1.1.62,R04681
1879,1.1.1.62,R04682
1880,1.1.1.62,R08945
1881,1.1.1.62,R08980
1882,1.14.19.44,R11059
1883,1.14.19.44,R11060
1884,1.14.19.44,R12169
1885,1.14.19.3,R03814
1886,1.14.19.3,R07933
1887,1.14.19.3,R07063
1888,1.14.19.3,R11110
1889,1.14.19.3,R11111
1890,1.14.19.3,R12167
1891,1.14.19.3,R12168
1892,1.14.19.3,R12170
1893,1.14.19.3,R12171
1894,1.14.19.3,R12172
1895,1.11.1.7,R00602
1896,1.11.1.7,R02596
1897,1.11.1.7,R03919
1898,1.11.1.7,R04007
1899,1.11.1.7,R07443
1900,2.1.1.8,R02155
1901,1.14.11.16,R04073
1902,3.6.1.29,R00187
1903,2.3.1.5,R02387
1904,2.3.1.5,R07940
1905,2.3.1.5,R08036
1906,2.3.1.5,R08248
1907,2.3.1.5,R08250
1908,2.3.1.5,R11902
1909,1.3.1.93,R10828
1910,1.3.1.93,R07761
1911,1.3.1.93,R09449
1912,2.4.2.4,R01570
1913,2.4.2.4,R01969
1914,2.4.2.4,R02484
1915,2.4.2.4,R02748
1916,2.4.2.4,R08222
1917,2.4.2.4,R08230
1918,4.4.1.17,R02480
1919,4.1.1.37,R03197
1920,4.1.1.37,R04972
1921,2.7.1.35,R00174
1922,2.7.1.35,R01909
1923,2.7.1.35,R02493
1924,3.6.1.28,R00618
1925,2.8.1.1,R01931
1926,2.8.1.2,R03105
1927,1.14.14.17,R02874
1928,3.7.1.3,R00987
1929,3.7.1.3,R02668
1930,3.7.1.3,R03936
1931,2.4.2.8,R01132
1932,2.4.2.8,R00190
1933,2.4.2.8,R01229
1934,2.4.2.8,R02142
1935,2.4.2.8,R08237
1936,2.4.2.8,R08238
1937,2.4.2.8,R08245
1938,6.4.1.2,R00742
1939,6.3.4.14,R04385
1940,2.1.3.15,R04386
1941,2.3.1.286,R10633
1942,2.1.1.355,R03875
1943,2.1.1.355,R04866
1944,2.1.1.355,R04867
1945,2.1.1.357,R03875
1946,2.1.1.357,R04866
1947,2.1.1.319,R11216
1948,2.1.1.319,R11217
1949,2.1.1.319,R11219
1950,2.3.1.20,R02694
1951,2.3.1.20,R09474
1952,2.3.1.76,R02367
1953,2.3.1.76,R08381
1954,1.14.99.29,R04437
1955,2.1.1.362,R04866
1956,2.1.1.356,R03875
1957,2.1.1.356,R04866
1958,2.1.1.356,R04867
1959,2.7.7.49,R00379
1960,2.3.1.1,R00259
1961,2.1.1.360,R03875
1962,2.1.1.360,R04866
1963,2.1.1.360,R04867
1964,2.7.1.22,R02324
1965,2.7.1.173,R03347
1966,3.1.3.29,R01805
1967,3.5.2.7,R02288
1968,4.1.1.90,R05144
1969,4.1.1.90,R09991
1970,1.14.99.38,R07218
1971,1.17.99.3,R07374
1972,1.17.99.3,R08735
1973,1.17.99.3,R08740
1974,3.1.2.4,R03352
1975,3.1.2.4,R03158
1976,3.1.2.4,R05064
1977,2.1.1.320,R11216
1978,2.1.1.320,R11218
1979,2.1.1.320,R11220
1980,2.1.1.321,R11216
1981,1.5.5.3,R03295
1982,1.1.1.184,R02581
1983,1.1.1.184,R02975
1984,1.1.1.184,R04285
1985,1.1.1.184,R09420
1986,1.1.1.189,R02581
1987,1.1.1.197,R04552
1988,2.7.1.14,R01844
1989,3.4.11.1,R00899
1990,3.4.11.1,R04951
1991,3.4.11.5,R00135
1992,2.7.8.5,R01801
1993,5.4.99.2,R00833
1994,1.1.1.40,R00216
1995,1.1.1.40,R00217
1996,2.3.1.24,R01496
1997,2.3.1.24,R02543
1998,2.3.1.24,R06517
1999,2.3.1.24,R06527
2000,5.4.2.4,R01662
2001,5.4.2.11,R01516
2002,5.4.2.11,R01518
2003,6.2.1.17,R00925
2004,6.2.1.17,R00926
2005,6.2.1.17,R01354
2006,6.2.1.2,R01176
2007,6.1.1.10,R03659
2008,6.1.1.10,R04773
2009,2.4.1.40,R04423
2010,2.4.1.40,R06167
2011,2.4.1.40,R06187
2012,2.4.1.40,R06191
2013,2.4.1.40,R06193
2014,2.4.1.40,R06197
2015,2.4.1.37,R06029
2016,2.4.1.37,R06168
2017,2.4.1.37,R06190
2018,3.2.1.108,R01678
2019,3.2.1.108,R06098
2020,3.2.1.62,R01498
2021,3.2.1.62,R03617
2022,4.6.1.2,R00434
2023,3.1.4.12,R02541
2024,3.1.2.27,R07296
2025,3.1.2.27,R03974
2026,2.7.7.80,R07459
2027,2.8.1.11,R07461
2028,3.2.1.45,R01498
2029,4.3.2.9,R03749
2030,4.3.2.9,R02743
2031,6.3.2.2,R00894
2032,6.3.2.2,R10993
2033,1.1.1.300,R08379
2034,3.1.1.64,R08388
2035,5.3.3.22,R12003
2036,1.4.3.22,R02150
2037,1.4.3.22,R01151
2038,1.4.3.22,R02173
2039,1.4.3.22,R03139
2040,1.4.3.22,R04674
2041,1.1.99.24,R03225
2042,3.4.11.2,R00899
2043,3.4.11.2,R04951
2044,3.1.1.98,R11202
2045,4.2.1.3,R01324
2046,4.2.1.3,R01325
2047,4.2.1.3,R01900
2048,1.1.2.4,R00197
2049,2.3.1.85,R05188
2050,2.3.1.85,R01624
2051,2.3.1.85,R01626
2052,2.3.1.85,R01706
2053,2.3.1.85,R04355
2054,2.3.1.85,R04428
2055,2.3.1.85,R04430
2056,2.3.1.85,R04533
2057,2.3.1.85,R04534
2058,2.3.1.85,R04535
2059,2.3.1.85,R04536
2060,2.3.1.85,R04537
2061,2.3.1.85,R04543
2062,2.3.1.85,R04544
2063,2.3.1.85,R04566
2064,2.3.1.85,R04568
2065,2.3.1.85,R04725
2066,2.3.1.85,R04726
2067,2.3.1.85,R04952
2068,2.3.1.85,R04953
2069,2.3.1.85,R04954
2070,2.3.1.85,R04956
2071,2.3.1.85,R04957
2072,2.3.1.85,R04959
2073,2.3.1.85,R04960
2074,2.3.1.85,R04962
2075,2.3.1.85,R04963
2076,2.3.1.85,R04964
2077,2.3.1.85,R04965
2078,2.3.1.85,R04967
2079,2.3.1.85,R04968
2080,2.3.1.85,R04970
2081,1.17.1.4,R02103
2082,1.17.1.4,R01768
2083,1.17.3.2,R02107
2084,1.17.3.2,R00069
2085,1.17.3.2,R01769
2086,1.17.3.2,R07942
2087,1.17.3.2,R07977
2088,1.17.3.2,R07978
2089,1.17.3.2,R07979
2090,1.17.3.2,R08235
2091,1.1.3.15,R00475
2092,1.14.11.68,R09510
2093,1.14.11.68,R12459
2094,1.14.11.68,R12460
2095,2.5.1.91,R09249
2096,4.2.1.152,R10761
2097,5.4.4.7,R10766
2098,1.14.11.67,R09510
2099,1.14.11.67,R09511
